Mes,Ordem,Chale,Categoria,Reservas,Faturamento,Diarias,Diaria_Media,Pessoas,Ocupacao_Pct,RevPAR
2025-06,39,Mirante Luxo - 6,Mirante Luxo,12,14008.93,17,824.05,25,56.67,466.96
2025-06,41,Mirante Luxo - 8,Mirante Luxo,12,13105.48,14,936.11,24,46.67,436.85
2025-06,29,Mirante Premium 11,Mirante Premium,9,12985.07,13,998.85,18,43.33,432.84
2025-06,38,Mirante Luxo - 5,Mirante Luxo,11,12468.29,14,890.59,23,46.67,415.61
2025-06,40,Mirante Luxo - 7,Mirante Luxo,13,12392.76,14,885.2,27,46.67,413.09
2025-06,28,Mirante Premium 10,Mirante Premium,11,11494.35,13,884.18,25,43.33,383.15
2025-06,35,Mirante Luxo - 2,Mirante Luxo,10,10085.03,11,916.82,20,36.67,336.17
2025-06,30,Mirante Premium 12,Mirante Premium,8,8769.35,10,876.94,17,33.33,292.31
2025-06,34,Mirante Luxo - 1,Mirante Luxo,7,8213.63,9,912.63,16,30,273.79
2025-06,10,Chalé Master - Acerola,Chalé Master,11,7781.6,14,555.83,24,46.67,259.39
2025-06,25,Mirante Premium Black,Mirante Premium Black,7,7729.45,7,1104.21,14,23.33,257.65
2025-06,26,Mirante Premium White,Mirante Premium White,7,7500.63,7,1071.52,14,23.33,250.02
2025-06,31,Mirante Premium 13,Mirante Premium,7,7173.74,7,1024.82,13,23.33,239.12
2025-06,15,Chalé Master - Jabuticaba,Chalé Master,7,7058.02,12,588.17,15,40,235.27
2025-06,27,Mirante Premium 9,Mirante Premium,5,6894.33,6,1149.06,10,20,229.81
2025-06,23,Chalé Especial - Gravata,Chalé Especial,6,6854.79,6,1142.47,28,20,228.49
2025-06,37,Mirante Luxo - 4,Mirante Luxo,7,6455.14,7,922.16,14,23.33,215.17
2025-06,32,Mirante Premium 14,Mirante Premium,5,5271.85,5,1054.37,11,16.67,175.73
2025-06,36,Mirante Luxo - 3,Mirante Luxo,5,5263.98,6,877.33,10,20,175.47
2025-06,17,Chalé Master - Uva,Chalé Master,8,4880.68,11,443.7,16,36.67,162.69
2025-06,47,Lago - Loft,Lago,3,4499,4,1124.75,6,13.33,149.97
2025-06,24,Chalé Especial - Graviola,Chalé Especial,2,4277.39,3,1425.8,8,10,142.58
2025-06,1,Suíte - 1,Suíte,8,4086.58,9,454.06,16,30,136.22
2025-06,13,Chalé Master - Carambola,Chalé Master,5,4077.42,8,509.68,12,26.67,135.91
2025-06,11,Chalé Master - Araça,Chalé Master,5,4034.83,7,576.4,15,23.33,134.49
2025-06,20,Chalé Luxo - Caju,Chalé Luxo,5,3946.21,5,789.24,12,16.67,131.54
2025-06,22,Chalé Luxo - Pequi,Chalé Luxo,4,3292.89,5,658.58,9,16.67,109.76
2025-06,42,Lago - 1,Lago,3,2982,6,497,9,20,99.4
2025-06,16,Chalé Master - Manga,Chalé Master,7,2792.71,7,398.96,16,23.33,93.09
2025-06,5,Suíte - 7,Suíte,4,2497.75,4,624.44,8,13.33,83.26
2025-06,2,Suíte - 3,Suíte,3,2349.65,3,783.22,6,10,78.32
2025-06,19,Chalé Master - Vovo 2,Chalé Master - Vovo,5,2334.58,5,466.92,11,16.67,77.82
2025-06,7,Suíte - 9,Suíte,4,2030.29,4,507.57,8,13.33,67.68
2025-06,48,Chalé da Mata,Chalé da Mata,1,1976,1,1976,4,3.33,65.87
2025-06,6,Suíte - 8,Suíte,4,1736.94,4,434.24,8,13.33,57.9
2025-06,44,Lago - 3,Lago,3,1702,3,567.33,6,10,56.73
2025-06,18,Chalé Master - Vovo 1,Chalé Master - Vovo,2,1681.5,2,840.75,5,6.67,56.05
2025-06,21,Chalé Luxo - Mangaba,Chalé Luxo,3,1674.33,3,558.11,6,10,55.81
2025-06,12,Chalé Master - Cajá,Chalé Master,3,1645.65,3,548.55,6,10,54.86
2025-06,8,Suíte - 10,Suíte,2,1214.65,2,607.33,4,6.67,40.49
2025-06,33,Chalê Premium,Chalê Premium,1,1194.3,1,1194.3,2,3.33,39.81
2025-06,14,Chalé Master - Goiaba,Chalé Master,3,1142.03,3,380.68,6,10,38.07
2025-06,4,Suíte - 6,Suíte,2,1077.21,2,538.61,4,6.67,35.91
2025-06,9,Suíte - 11,Suíte,1,573.85,1,573.85,2,3.33,19.13
2025-06,3,Suíte - 5,Suíte,0,0,0,0,0,0,0
2025-06,43,Lago - 2,Lago,0,0,0,0,0,0,0
2025-06,45,Lago - 4,Lago,0,0,0,0,0,0,0
2025-06,46,Lago - 5,Lago,0,0,0,0,0,0,0
2025-07,40,Mirante Luxo - 7,Mirante Luxo,17,16813.04,22,764.23,39,70.97,542.36
2025-07,38,Mirante Luxo - 5,Mirante Luxo,18,15291.51,20,764.58,37,64.52,493.27
